Symbol,Security ID,Error
161NSETEST,14784,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
171NSETEST,23446,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
181NSETEST,23447,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
360ONE,13061,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ABB,13,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ABCAPITAL,21614,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ADANIENSOL,10217,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ADANIENT,25,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ADANIGREEN,3563,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ADANIPORTS,15083,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ADANIPOWER,17388,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ALKEM,11703,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
AMBER,1185,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
AMBUJACEM,1270,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ANGELONE,324,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
APLAPOLLO,25780,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
APOLLOHOSP,157,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ASHOKLEY,212,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ASIANPAINT,236,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ASTRAL,14418,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
AUBANK,21238,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
AUROPHARMA,275,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
AXISBANK,5900,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BAJAJ-AUTO,16669,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BAJAJFINSV,16675,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BAJAJHLDNG,305,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BAJFINANCE,317,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BANDHANBNK,2263,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BANKBARODA,4668,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BANKINDIA,4745,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BDL,2144,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BEL,383,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BHARATFORG,422,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BHARTIARTL,10604,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BHEL,438,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BIOCON,11373,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BLUESTARCO,8311,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BOSCHLTD,2181,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BPCL,526,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BRITANNIA,547,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
BSE,19585,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
CAMS,342,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
CANBK,10794,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
CDSL,21174,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
CGPOWER,760,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
CHOLAFIN,685,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
CIPLA,694,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
COALINDIA,20374,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
COCHINSHIP,21508,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
COFORGE,11543,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
COLPAL,15141,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
CONCOR,4749,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
CROMPTON,17094,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
CUMMINSIND,1901,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
DABUR,772,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
DALBHARAT,8075,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
DELHIVERY,9599,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
DIVISLAB,10940,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
DIXON,21690,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
DLF,14732,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
DMART,19913,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
DRREDDY,881,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
EICHERMOT,910,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ETERNAL,5097,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
FEDERALBNK,1023,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
FORCEMOT,11573,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
FORTIS,14592,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
GAIL,4717,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
GLENMARK,7406,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
GMRAIRPORT,13528,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
GODFRYPHLP,1181,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
GODREJCP,10099,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
GODREJPROP,17875,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
GRASIM,1232,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
GVT&D,16783,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HAL,2303,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HAVELLS,9819,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HCLTECH,7229,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HDFCAMC,4244,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HDFCBANK,1333,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HDFCLIFE,467,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HEROMOTOCO,1348,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HINDALCO,1363,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HINDPETRO,1406,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HINDUNILVR,1394,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HINDZINC,1424,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
HYUNDAI,25844,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ICICIBANK,4963,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ICICIGI,21770,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
ICICIPRULI,18652,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
IDEA,14366,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
IDFCFIRSTB,11184,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
IEX,220,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
INDHOTEL,1512,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
INDIANB,14309,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
INDIGO,11195,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
INDUSINDBK,5258,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
INDUSTOWER,29135,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
INFY,1594,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
INOXWIND,7852,"HTTP 401: {""errorType"":""Invalid_Access"",""errorCode"":""DH-902"",""errorMessage"":""HTTP Status 451. User has not subscribed to Data APIs or does not have access to Trading APIs. Kindly subscribe to Data APIs to be able to fetch Data.""}"
